"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
60,睁开你的双眼 Abre los ojos,剧情 / 爱情 / 科幻 / 悬疑 / 惊悚,亚历杭德罗·阿梅纳瓦尔,爱德华多·诺列加 / 佩内洛普·克鲁兹 / 费雷·马丁内兹,14606,8.0,西班牙/法国/意大利,20世纪90年代
61,爱疯狂 C.R.A.Z.Y.,喜剧 / 同性 / 家庭,让-马克·瓦雷,米歇尔·寇特 / 马克-安德烈·格隆丁 / 丹妮尔·普罗克斯,5937,8.0,加拿大,21世纪00年代
62,人咬狗 C'est arrivé près de chez vous,喜剧 / 犯罪 / 剧情 / 惊悚,Rémy Belvaux / André Bonzel / 伯努瓦·波尔沃德,伯努瓦·波尔沃德 / Jacqueline Poelvoorde-Pappaert / Jenny Drye,6671,8.0,比利时,20世纪90年代
63,变形金刚 Transformers,动作 / 科幻,迈克尔·贝,希亚·拉博夫 / 梅根·福克斯 / 乔什·杜哈明,399121,8.3,美国,21世纪00年代
64,疯狂店员 Clerks,喜剧,凯文·史密斯,布莱恩·奥哈罗兰 / 杰夫·安德森 / 玛丽琳·吉格洛尔蒂,19858,8.1,美国,20世纪90年代
65,没有我的日子 My Life Without Me,剧情 / 爱情,伊莎贝尔·科赛特,萨拉·波莉 / 阿曼达·普拉莫 / 马克·鲁弗洛,4959,8.0,加拿大/西班牙,21世纪00年代
66,穿越美国 Transamerica,剧情 / 喜剧 / 冒险,邓肯·塔克,菲丽西提·霍夫曼 / 凯文·席格斯 / 丹尼·伯斯坦,11084,8.2,美国,21世纪00年代
67,"养子十五岁 Patrik 1,5",剧情 / 喜剧 / 同性,埃拉·列姆哈根,古斯塔·斯卡斯加德 / 托克尔·彼特森 / 汤姆·柳恩格曼,15906,8.1,瑞典,21世纪00年代
68,幸福的黄手帕 幸福の黄色いハンカチ,喜剧 / 剧情,山田洋次,高仓健 / 倍赏千惠子 / 桃井薰,11090,8.2,日本,20世纪70年代
69,和莎莫的500天 (500) Days of Summer,剧情 / 喜剧 / 爱情,马克·韦布,约瑟夫·高登-莱维特 / 佐伊·丹斯切尔 / 吉奥弗瑞·阿伦德,397656,8.0,美国,21世纪00年代
70,第九区 District 9,动作 / 剧情 / 科幻 / 惊悚,尼尔·布洛姆坎普,沙尔托·科普雷 / 詹森·库伯 / 娜塔莉·博尔特,369890,8.3,美国/新西兰/加拿大/南非,21世纪00年代
71,成事在人 Invictus,传记 / 剧情 / 历史 / 运动,克林特·伊斯特伍德,摩根·弗里曼 / 马特·达蒙 / 托尼·戈罗奇,39674,8.2,美国,21世纪00年代
72,珍爱 Precious,剧情,李·丹尼尔斯,加布蕾·丝迪贝 / 莫妮克 / 宝拉·巴顿,34246,8.1,美国,21世纪00年代
73,囚室211 Celda 211,动作 / 剧情,丹尼尔·蒙宗,路易斯·托萨尔 / 阿尔维托·阿曼 / 安东尼奥·雷西内斯,37565,8.0,西班牙/法国,21世纪00年代
74,爸...你好吗？ 爸... 你好嗎？,剧情,张作骥,高捷 / 纪培慧 / 张捷,7556,8.2,中国台湾,21世纪00年代
75,尽情游戏 Micmacs à tire-larigot,喜剧 / 犯罪,让-皮埃尔·热内,丹尼·伯恩 / 安德烈·杜索里埃 / 多米尼克·皮侬,27589,8.0,法国,21世纪00年代
76,无姓之人 Mr. Nobody,剧情 / 爱情 / 科幻 / 奇幻,雅克·范·多梅尔,杰瑞德·莱托 / 萨拉·波莉 / 黛安·克鲁格,99699,8.2,加拿大/比利时/法国/德国,21世纪00年代
77,蕾蒙娜和姐姐 Ramona and Beezus,喜剧 / 家庭 / 冒险,伊丽莎白·艾伦,乔伊·金 / 赛琳娜·戈麦斯 / 约翰·考伯特,20800,8.0,美国,21世纪10年代
78,127小时 127 Hours,剧情 / 传记 / 冒险,丹尼·博伊尔,詹姆斯·弗兰科 / 丽兹·卡潘 / 凯特·玛拉,119266,8.1,美国/英国,21世纪10年代
79,弟弟 おとうと,剧情,山田洋次,苍井优 / 加濑亮 / 石田百合子,9925,8.1,日本,21世纪10年代
80,社交网络 The Social Network,剧情 / 传记,大卫·芬奇,杰西·艾森伯格 / 安德鲁·加菲尔德 / 贾斯汀·汀布莱克,389677,8.2,美国,21世纪10年代
81,甜言蜜语 甜言蜜語,爱情,赵崇基,古天乐 / 蒙嘉慧 / 黄浩然,8549,8.2,中国香港,20世纪90年代
82,心灵驿站 The Station Agent,喜剧 / 剧情,汤姆·麦卡锡,彼特·丁拉基 / 乔什·帕斯 / 保罗·本杰明,6580,8.0,美国,21世纪00年代
83,性爱宝典 Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,喜剧 / 情色,伍迪·艾伦,伍迪·艾伦 / 约翰·卡拉丁 / 托尼·霍尔特,16952,8.0,美国,20世纪70年代
84,罗塞塔 Rosetta,剧情,让-皮埃尔·达内 / 吕克·达内,艾米莉·德奎恩 / 法布里齐奥·隆吉奥内 / 安妮·耶和诺,10889,8.2,法国/比利时,20世纪90年代
85,弹簧折刀 Sling Blade,剧情,比利·鲍伯·松顿,比利·鲍伯·松顿 / 卢卡斯·布莱克 / 约翰·瑞特,6735,8.1,美国,20世纪90年代
86,爱你长久 Il y a longtemps que je t'aime,剧情 / 悬疑,菲利浦·克洛代尔,克里斯汀·斯科特·托马斯 / 艾尔莎·泽贝斯坦 / 塞尔奇·哈赛纳维奇,14771,8.2,法国/德国,21世纪00年代
87,我们的幸福时光 우리들의 행복한 시간,爱情,宋海星,李奈映 / 姜栋元 / 姜信日,25226,8.1,韩国,21世纪00年代
88,西北偏北 North by Northwest,悬疑 / 惊悚 / 冒险,阿尔弗雷德·希区柯克,加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森,78917,8.3,美国,20世纪50年代
89,黑店狂想曲 Delicatessen,喜剧 / 奇幻,马克·卡罗 / 让-皮埃尔·热内,帕斯卡尔·贝内泽 / 多米尼克·皮侬 / 玛丽-洛尔·杜尼亚克,41813,8.0,法国,20世纪90年代
90,欢迎来到东莫村 웰컴 투 동막골,喜剧 / 剧情 / 战争,朴光铉,申河均 / 郑在咏 / 姜惠贞,53056,8.2,韩国,21世纪00年代
91,华尔街 Wall Street,犯罪 / 剧情,奥利佛·斯通,查理·辛 / 迈克尔·道格拉斯 / 达丽尔·汉纳,48509,8.2,美国,20世纪80年代
92,如月疑云 キサラギ,喜剧 / 悬疑,佐藤祐市,小栗旬 / 中山裕介 / 小出惠介,47230,8.1,日本,21世纪00年代
93,处刑人 The Boondock Saints,动作 / 犯罪 / 剧情 / 惊悚,特洛伊·达菲,威廉·达福 / 肖恩·派特里克·弗兰纳里 / 诺曼·瑞杜斯,42390,8.2,美国/加拿大,20世纪90年代
94,香料共和国 Πολίτικη κουζίνα,剧情 / 喜剧,Tassos Boulmetis,Georges Corraface / Ieroklis Michaelidis / Renia Louizidou,4575,8.1,希腊/土耳其,21世纪00年代
95,新桥恋人 Les amants du Pont-Neuf,剧情 / 爱情,莱奥·卡拉克斯,朱丽叶·比诺什 / 德尼·拉旺,39189,8.1,法国,20世纪90年代
96,叶塞尼亚 Yesenia,剧情 / 爱情,阿尔弗雷多·克雷维纳,杰奎琳·安德瑞 / 乔治·拉瓦特 / 艾尔玛·洛扎诺,6763,8.2,墨西哥,20世纪70年代
97,偷龙转凤 How to Steal a Million,喜剧 / 犯罪 / 爱情,威廉·惠勒,奥黛丽·赫本 / 彼得·奥图尔 / 埃里·瓦拉赫,9583,8.1,美国,20世纪60年代
98,惊曝内幕 The Insider,传记 / 剧情 / 惊悚,迈克尔·曼,阿尔·帕西诺 / 罗素·克劳 / 克里斯托弗·普卢默,20801,8.2,美国,20世纪90年代
