"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
215,嫌疑人X的献身 容疑者Xの献身,犯罪 / 剧情 / 悬疑,西谷弘,福山雅治 / 柴崎幸 / 堤真一,187284,8.4,日本,21世纪00年代
216,神探,动作 / 犯罪 / 悬疑 / 惊悚,杜琪峰 / 韦家辉,刘青云 / 安志杰 / 林家栋,205862,8.5,中国香港,21世纪00年代
217,落水狗 Reservoir Dogs,惊悚 / 犯罪,昆汀·塔伦蒂诺,哈威·凯特尔 / 蒂姆·罗斯 / 迈克尔·马德森,167525,8.4,美国,20世纪90年代
218,马拉松 말아톤,剧情 / 传记 / 运动,郑胤澈,曹承佑 / 李基英 / 金美淑,13624,8.3,韩国,21世纪00年代
219,真爱满行囊 Je m'appelle Elisabeth,剧情,尚皮耶·亚莫斯,Alba Gaïa Kraghede Bellugi / 斯特凡纳·弗雷斯 / 玛丽亚·德·梅黛洛,12902,8.3,法国,21世纪00年代
220,真相至上 Nothing But the Truth,剧情 / 悬疑,罗德·拉里,凯特·贝金赛尔 / 马特·狄龙 / 维拉·法米加,29741,8.3,美国,21世纪00年代
221,深海长眠 Mar adentro,传记 / 剧情,亚历杭德罗·阿梅纳瓦尔,哈维尔·巴登 / 洛拉·杜埃尼亚斯 / 阿尔维托·阿玛里利亚,18297,8.3,西班牙/法国/意大利,21世纪00年代
222,理查德·朱维尔的哀歌 Richard Jewell,剧情 / 传记 / 犯罪,克林特·伊斯特伍德,保罗·沃尔特·豪泽 / 山姆·洛克威尔 / 凯西·贝茨,88030,8.2,美国,21世纪10年代
223,暖暖内含光 Eternal Sunshine of the Spotless Mind,剧情 / 爱情 / 科幻,米歇尔·贡德里,金·凯瑞 / 凯特·温丝莱特 / 伊利亚·伍德,206319,8.5,美国,21世纪00年代
224,雪路 눈길,剧情 / 历史 / 战争,李娜静,金香起 / 金赛纶 / 张荣男,15067,8.3,韩国,21世纪10年代
225,生命如此美好 Chce Się Żyć,剧情,马切伊·佩普日察,大卫·奥格尼克 / 多萝塔·科拉克 / 阿尔卡迪乌什·雅库比克,8682,8.4,波兰,21世纪10年代
226,红海行动,动作 / 战争,林超贤,张译 / 黄景瑜 / 海清,879980,8.3,中国大陆/中国香港,21世纪10年代
227,彗星来的那一夜 Coherence,科幻 / 悬疑 / 惊悚,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼 / 莫瑞·史特林 / 尼古拉斯·布兰登,413848,8.5,美国/英国,21世纪10年代
228,"如晴天，似雨天 Like Sunday, Like Rain",剧情 / 音乐,弗兰克·威利,朱利安·夏特金 / 莉顿·梅斯特 / 黛博拉·梅辛,127420,8.3,美国,21世纪10年代
229,1917,剧情 / 战争,萨姆·门德斯,乔治·麦凯 / 迪恩·查尔斯·查普曼 / 科林·费尔斯,411413,8.5,美国/英国/印度/西班牙/加拿大/中国大陆,21世纪10年代
230,死无对证 Il testimone invisibile,剧情 / 犯罪 / 悬疑 / 惊悚,斯蒂法诺·摩尔蒂尼,里卡多·斯卡马乔 / 米丽娅姆·莱昂内 / 马丽娅·派雅托,49040,7.7,意大利,21世纪10年代
231,午后之爱 L'amour l'après-midi,剧情 / 爱情,埃里克·侯麦,贝尔纳·维尔莱 / 祖祖 / Françoise Verley,12069,8.4,法国,20世纪70年代
232,慕德家一夜 Ma nuit chez Maud,剧情 / 爱情,埃里克·侯麦,让-路易·特兰蒂尼昂 / 弗兰西丝·法比安 / 玛丽-克里斯汀·巴洛特,9956,8.4,法国,20世纪60年代
233,双姝奇缘 4 aventures de Reinette et Mirabelle,喜剧 / 剧情 / 爱情,埃里克·侯麦,Joëlle Miquel / 杰西卡·福德 / Mr. Housseau,9234,8.5,法国,20世纪80年代
234,借着雨点说爱你 いま、会いにゆきます,剧情 / 奇幻 / 爱情,土井裕泰,竹内结子 / 中村狮童 / 武井证,30452,8.5,日本,21世纪00年代
235,小妇人 Little Women,剧情 / 爱情 / 家庭,吉莉安·阿姆斯特朗,薇诺娜·瑞德 / 加布里埃尔·伯恩 / 翠尼·阿瓦拉多,51488,8.4,美国/加拿大,20世纪90年代
236,平凡岁月的魅力 The Magic of Ordinary Days,剧情 / 爱情 / 战争,布兰特·席尔兹,凯丽·拉塞尔 / 斯基特·乌尔里奇,8290,8.5,美国/加拿大,21世纪00年代
237,杀人短片 Krótki film o zabijaniu,剧情 / 犯罪,克日什托夫·基耶斯洛夫斯基,米罗斯洛·巴卡 / 克日什托夫·格洛比什 / 扬·特萨利兹,10128,8.4,波兰,20世纪80年代
238,两小无猜 Melody,剧情 / 爱情,瓦里丝·侯赛因,马克·莱斯特 / 特雷西·海德 / 杰克·瓦尔德,40797,8.5,英国,20世纪70年代
239,猜火车 Trainspotting,剧情 / 犯罪,丹尼·博伊尔,伊万·麦克格雷格 / 艾文·布莱纳 / 约翰尼·李·米勒,356771,8.5,英国,20世纪90年代
240,对她说 Hable con ella,剧情 / 爱情,佩德罗·阿莫多瓦,哈维尔·卡马拉 / 达里奥·格兰迪内蒂 / 蕾欧诺·瓦特林,74728,8.5,西班牙,21世纪00年代
241,寂寞芳心 Issız Adam,剧情 / 爱情,查恩·厄尔马克,梅莉丝·柏坎 / 杰玛勒·胡那勒 / Yildiz Kültür,17491,8.5,土耳其,21世纪00年代
242,死囚越狱 Un Condamné à mort s'est échappé,剧情 / 惊悚 / 战争,罗伯特·布列松,弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克,14011,8.5,法国,20世纪50年代
243,暗恋桃花源 暗戀桃花源,剧情 / 喜剧 / 爱情,赖声川,林青霞 / 李立群 / 金士杰,47158,8.5,中国台湾,20世纪90年代
244,五月的四天 4 Tage im Mai,剧情 / 战争,阿希姆·冯·博里斯,帕维尔·文策尔 / 阿列克塞·古斯科夫 / 伊万·舍甫多夫,8348,8.5,德国/俄罗斯/乌克兰,21世纪10年代
245,王牌特工：特工学院 Kingsman: The Secret Service,喜剧 / 动作 / 冒险,马修·沃恩,塔伦·埃哲顿 / 科林·费尔斯 / 塞缪尔·杰克逊,562918,8.4,英国/美国,21世纪10年代
246,那年夏天，宁静的海 あの夏、いちばん静かな海。,剧情 / 喜剧 / 爱情,北野武,真木藏人 / 大岛弘子 / 河原萨布,58065,8.5,日本,20世纪90年代
247,抛掉书本上街去 書を捨てよ町へ出よう,剧情 / 音乐,寺山修司,佐佐木英明 / 齐藤正志 / 平泉成,4858,8.4,日本,20世纪70年代
248,你逃我也逃 To Be or Not to Be,剧情 / 战争 / 喜剧,Alan Johnson,梅尔·布鲁克斯 / 安妮·班克罗夫特 / 提姆·麦锡森,3347,8.5,美国,20世纪80年代
249,色，戒,剧情 / 爱情 / 情色,李安,梁朝伟 / 汤唯 / 陈冲,556401,8.5,中国台湾/中国大陆/美国/中国香港,21世纪00年代
250,我亲爱的甜橙树 Meu Pé de Laranja Lima,剧情,马科斯·伯恩斯坦,João Guilherme de Ávila / José de Abreu / Fernanda Vianna,4540,8.4,巴西,21世纪10年代
251,无依之地 Nomadland,剧情,赵婷,弗兰西斯·麦克多蒙德 / 大卫·斯特雷泽恩 / 德里克·贾尼斯,50624,8.4,美国,21世纪20年代
252,极地重生 So weit die Füße tragen,剧情 / 战争,哈迪·马汀斯,迈克尔·门德尔,7491,8.3,德国,21世纪00年代
253,波斯语课 Persischstunden,剧情,瓦迪姆·佩尔曼,纳威尔·佩雷兹·毕斯卡亚特 / 拉斯·艾丁格 / 约纳斯·奈伊,33602,8.5,俄罗斯/德国/白俄罗斯,21世纪20年代
254,风声,犯罪 / 剧情 / 惊悚 / 战争,陈国富 / 高群书,周迅 / 李冰冰 / 张涵予,464632,8.3,中国大陆,21世纪00年代
255,"四月三周两天 4 luni, 3 săptămâni și 2 zile",剧情,克里斯蒂安·蒙吉,安娜玛丽亚·玛琳卡 / 劳拉·瓦西里 / 弗拉德·伊凡诺夫,30024,8.3,罗马尼亚,21世纪00年代
256,菲洛梅娜 Philomena,剧情 / 传记 / 同性 / 家庭,斯蒂芬·弗雷斯,朱迪·丹奇 / 史蒂夫·库根 / 苏菲·肯尼迪·克拉克,23691,8.4,英国/美国/法国,21世纪10年代
