"",电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代
400,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,剧情 / 动作 / 科幻 / 犯罪 / 惊悚,克里斯托弗·诺兰,克里斯蒂安·贝尔 / 汤姆·哈迪 / 安妮·海瑟薇,570086,8.8,美国/英国,21世纪10年代
401,理查二世 Richard II,剧情 / 历史,鲁伯特·古尔德,本·卫肖 / 克蕾曼丝·波西 / 帕特里克·斯图尔特,14071,8.7,英国,21世纪10年代
402,"亨利四世：第二部分 Henry IV, Part 2",剧情 / 历史,理查德·艾尔,杰瑞米·艾恩斯 / 汤姆·希德勒斯顿 / 西蒙·拉塞尔·比尔,7825,8.6,英国,21世纪10年代
403,"亨利四世：第一部分 Henry IV, Part 1",剧情 / 历史,理查德·艾尔,杰瑞米·艾恩斯 / 汤姆·希德勒斯顿 / 西蒙·拉塞尔·比尔,9625,8.7,英国/美国,21世纪10年代
404,赛德克·巴莱 賽德克·巴萊,剧情 / 历史 / 战争,魏德圣,林庆台 / 马志翔 / 安藤政信,149295,8.8,中国台湾,21世纪10年代
405,赛德克·巴莱(下)：彩虹桥 賽德克·巴萊(下)彩虹橋,剧情 / 历史 / 战争,魏德圣,马志翔 / 徐若瑄 / 温岚,75539,8.8,中国台湾,21世纪10年代
406,与玛格丽特的午后 La tête en friche,喜剧,让·贝克,热拉尔·德帕迪约 / 吉赛勒·卡扎德絮 / 帕特里克·伯利奇,30983,8.8,法国,21世纪10年代
407,樱花盛开 Kirschblüten - Hanami,剧情 / 爱情,多丽丝·德里,艾尔玛·韦伯 / 汉内洛勒·埃尔斯纳 / 入月彩,6180,8.6,德国,21世纪00年代
408,这里的黎明静悄悄 А зори здесь тихие,剧情 / 历史 / 战争,斯坦尼斯拉夫·罗斯托茨基,安德烈·马尔蒂诺夫 / 伊琳娜·多尔加诺娃 / 伊莲娜·德罗佩科,10453,8.7,苏联,20世纪70年代
409,焦土之城 Incendies,剧情 / 战争 / 悬疑,丹尼斯·维伦纽瓦,雷米·吉拉德 / 梅丽莎·德索蒙斯-波林 / 马克西姆·高德特,34457,8.6,加拿大,21世纪10年代
410,爱 Amour,剧情 / 爱情,迈克尔·哈内克,让-路易·特兰蒂尼昂 / 埃玛妞·丽娃 / 伊莎贝尔·于佩尔,72277,8.6,法国/德国/奥地利,21世纪10年代
411,悲惨世界 Les Misérables,剧情 / 爱情 / 歌舞,汤姆·霍伯,休·杰克曼 / 罗素·克劳 / 安妮·海瑟薇,293754,8.6,英国/美国/法国,21世纪10年代
412,一级谋杀 Murder in the First,剧情 / 惊悚,马可·罗科,克里斯蒂安·史莱特 / 凯文·贝肯 / 加里·奥德曼,7873,8.6,法国/美国,20世纪90年代
413,横道世之介,剧情 / 爱情,冲田修一,高良健吾 / 吉高由里子 / 池松壮亮,105744,8.8,日本,21世纪10年代
414,安全至下 Safety Last!,喜剧 / 爱情 / 惊悚,弗雷德·C·纽迈尔 / 山姆·泰勒,哈罗德·劳埃德 / 米尔德丽德·戴维斯 / 比尔·斯特罗瑟,8137,8.9,美国,20世纪20年代
415,情迷意乱 乱れる,剧情 / 爱情 / 家庭,成濑巳喜男,高峰秀子 / 加山雄三 / 草笛光子,8301,9.1,日本,20世纪60年代
416,同流者 Il conformista,剧情,贝纳尔多·贝托鲁奇,让-路易·特兰蒂尼昂 / 斯特法尼娅·桑德雷利 / 多米妮克·桑达,6253,8.6,意大利/法国/西德,20世纪70年代
417,烈焰焚币 Plata quemada,剧情 / 爱情 / 犯罪 / 惊悚 / 同性,马西路·品尼路,莱昂纳多·斯巴拉格利亚 / 爱德华多·诺列加 / 巴勃罗·埃查里,16919,8.6,阿根廷/西班牙/乌拉圭,21世纪00年代
418,特工 공작,剧情,尹钟彬,黄政民 / 李星民 / 赵震雄,133775,8.6,韩国,21世纪10年代
419,花样年华 花樣年華,剧情 / 爱情,王家卫,梁朝伟 / 张曼玉 / 潘迪华,459472,8.7,中国香港,21世纪00年代
420,极速车王 Ford v Ferrari,剧情 / 传记 / 运动,詹姆斯·曼高德,马特·达蒙 / 克里斯蒂安·贝尔 / 乔什·卢卡斯,181226,8.6,美国,21世纪10年代
421,控方证人 Witness for the Prosecution,剧情 / 犯罪 / 悬疑,艾伦·吉布森,拉尔夫·理查德森 / 黛博拉·蔻儿 / 博·布里奇斯,28452,9.5,美国/英国,20世纪80年代
422,战争与和平 Война и мир,剧情 / 历史 / 爱情 / 战争,谢尔盖·邦达尔丘克,谢尔盖·邦达尔丘克 / 柳德米拉·萨维里耶娃 / 维亚切斯拉夫·吉洪诺夫,7249,9.1,苏联,20世纪60年代
423,82年生的金智英 82년생 김지영,剧情,金度英,郑有美 / 孔刘 / 金美京,305271,8.6,韩国,21世纪10年代
424,燃烧女子的肖像 Portrait de la jeune fille en feu,剧情 / 爱情 / 同性,瑟琳·席安玛,诺米·梅兰特 / 阿黛拉·哈内尔 / 卢安娜·巴杰拉米,126871,8.6,法国,21世纪10年代
425,特写 نمای نزدیک,犯罪 / 剧情,阿巴斯·基亚罗斯塔米,Hossain Sabzian / 莫森·玛克玛尔巴夫 / Abolfazl Ahankhah,6980,8.6,伊朗,20世纪90年代
426,隐藏人物 Hidden Figures,剧情 / 传记 / 历史,西奥多·梅尔菲,塔拉吉·P·汉森 / 奥克塔维亚·斯宾瑟 / 加奈儿·梦奈,143006,8.8,美国,21世纪10年代
427,再次出发之纽约遇见你 Begin Again,喜剧 / 爱情 / 音乐,约翰·卡尼,凯拉·奈特莉 / 马克·鲁弗洛 / 亚当·莱文,339740,8.6,美国,21世纪10年代
428,阮玲玉,传记 / 剧情 / 爱情,关锦鹏,张曼玉 / 梁家辉 / 秦汉,79839,8.6,中国香港,20世纪90年代
429,发条橙 A Clockwork Orange,犯罪 / 剧情 / 科幻,斯坦利·库布里克,马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨,303935,8.6,英国/美国,20世纪70年代
430,大红灯笼高高挂,剧情,张艺谋,巩俐 / 马精武 / 何赛飞,188509,8.6,中国大陆/中国香港/中国台湾,20世纪90年代
431,汉密尔顿 Hamilton,历史 / 歌舞,托马斯·凯尔,林-曼努尔·米兰达 / 小莱斯利·奥多姆 / 戴维德·迪格斯,43821,9.5,美国,21世纪20年代
432,无间道2 無間道II,动作 / 犯罪 / 剧情 / 惊悚,刘伟强 / 麦兆辉,陈冠希 / 余文乐 / 曾志伟,326599,8.6,中国香港,21世纪00年代
433,青蛇,剧情 / 爱情 / 奇幻 / 古装,徐克,张曼玉 / 王祖贤 / 赵文卓,409701,8.6,中国香港/中国大陆,20世纪90年代
434,党同伐异 Intolerance: Love's Struggle Throughout the Ages,剧情 / 历史 / 爱情,大卫·格里菲斯,丽莲·吉许 / 梅·马什 / 罗伯特·哈伦,8038,8.7,美国,20世纪10年代
435,巴里·林登 Barry Lyndon,剧情 / 爱情 / 战争,斯坦利·库布里克,瑞安·奥尼尔 / 马里莎·贝伦森 / 帕特里克·马基,29060,8.8,英国/美国,20世纪70年代
436,牧马人,剧情 / 爱情,谢晋,朱时茂 / 丛珊 / 刘琼,35656,8.9,中国大陆,20世纪80年代
437,杀死比尔整个血腥事件 Kill Bill: The Whole Bloody Affair,动作 / 犯罪,昆汀·塔伦蒂诺,乌玛·瑟曼 / 迈克尔·鲍文 / 大卫·卡拉丁,19813,8.6,美国,21世纪10年代
438,寂静人生 Still Life,剧情,乌贝托·帕索里尼,埃迪·马森 / 琼安·弗洛加特 / Karen Drury,19824,8.9,英国/意大利,21世纪10年代
439,夜 La notte,剧情 / 爱情,米开朗基罗·安东尼奥尼,马塞洛·马斯楚安尼 / 让娜·莫罗 / 莫尼卡·维蒂,9674,8.8,意大利/法国,20世纪60年代
440,人工智能 Artificial Intelligence: AI,剧情 / 科幻,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙 / 弗兰西丝·奥康纳 / 山姆·洛巴兹,351389,8.7,美国/英国,21世纪00年代
441,芝加哥 Chicago,喜剧 / 歌舞 / 犯罪,罗伯·马歇尔,泰雅·迪格斯 / 凯瑟琳·泽塔-琼斯 / 蕾妮·齐薇格,124388,8.8,美国/德国,21世纪00年代
442,芝加哥七君子审判 The Trial of the Chicago 7,剧情 / 历史,艾伦·索金,埃迪·雷德梅恩 / 艾利克斯·夏普 / 萨莎·拜伦·科恩,48601,8.6,美国/英国/印度,21世纪20年代
443,西线无战事 All Quiet on the Western Front,剧情 / 动作 / 历史 / 战争,刘易斯·迈尔斯通,路易斯·沃海姆 / 刘·艾尔斯 / 约翰·雷,13579,8.7,美国,20世纪30年代
444,飞向太空 Солярис,剧情 / 科幻 / 悬疑,安德烈·塔可夫斯基,纳塔莉亚·邦达尔丘克 / 多纳塔斯·巴尼奥尼斯 / 尤里·亚尔维特,17065,8.6,苏联,20世纪70年代
445,潜行者 Сталкер,剧情 / 科幻 / 悬疑,安德烈·塔可夫斯基,亚历山大·凯伊达诺夫斯基 / 阿丽萨·弗雷因德利赫 / 安纳托利·索洛尼岑,17839,8.8,苏联,20世纪70年代
446,牺牲 Offret,剧情,安德烈·塔可夫斯基,厄兰·约瑟夫森 / 苏珊·弗利特伍德 / 艾伦·埃德渥,8165,8.8,瑞典/法国/英国,20世纪80年代
447,盲山,剧情 / 犯罪,李杨,黄璐 / 杨幼安 / 贺运乐,122013,8.6,中国大陆,21世纪00年代
448,小树的故事 The Education of Little Tree,剧情,理查德·弗雷登伯格,约瑟夫·阿什顿 / 詹姆斯·克伦威尔 / 坦图·卡丁诺,4469,8.6,加拿大,20世纪90年代
449,天狗,剧情,戚健,富大龙 / 朱媛媛 / 刘子枫,25753,8.7,中国大陆,21世纪00年代
450,九品芝麻官,剧情 / 喜剧 / 古装,王晶,周星驰 / 吴孟达 / 张敏,468826,8.6,中国香港/中国大陆,20世纪90年代
451,铁达尼号沉没记 Titanic,剧情 / 动作 / 历史 / 爱情 / 灾难,罗伯特·里伯曼,彼得·盖勒 / 凯瑟琳·泽塔-琼斯 / 乔治·C·斯科特,5433,8.7,加拿大/美国,20世纪90年代
452,黑水 Dark Waters,剧情,托德·海因斯,马克·鲁弗洛 / 安妮·海瑟薇 / 蒂姆·罗宾斯,95215,8.6,美国,21世纪10年代
