,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
134,人体雕像 Taxidermia,剧情,乔治·巴勒菲,查巴·策勒 / 格雷戈里·特罗萨尼 / 马克·比肖夫,8629,8.0,匈牙利/奥地利/法国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1079218159.jpg
135,中央舞台 Center Stage,剧情 / 歌舞,尼古拉斯·希特纳,彼得·盖勒 / Ilia Kulik / 佐伊·索尔达娜,7991,8.2,美国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p783126245.jpg
136,香港制造,犯罪 / 剧情 / 爱情 / 喜剧,陈果,李灿森 / 严栩慈 / 李栋全,36190,8.2,中国香港,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2149644720.jpg
137,夺宝奇兵3 Indiana Jones and the Last Crusade,剧情 / 动作 / 奇幻 / 冒险,史蒂文·斯皮尔伯格,哈里森·福特 / 肖恩·康纳利 / 丹霍姆·艾略特,56965,8.2,美国/英国,20世纪80年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1703183716.jpg
138,离开拉斯维加斯 Leaving Las Vegas,剧情 / 爱情,迈克·菲吉斯,尼古拉斯·凯奇 / 伊丽莎白·苏 / 朱利安·山德斯,31365,8.1,美国/法国/英国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494188239.jpg
139,闪灵 The Shining,剧情 / 悬疑 / 恐怖,斯坦利·库布里克,杰克·尼科尔森 / 谢莉·杜瓦尔 / 丹尼·劳埃德,383393,8.3,英国/美国,20世纪80年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461253191.jpg
140,马语者 The Horse Whisperer,剧情 / 爱情 / 西部,罗伯特·雷德福,罗伯特·雷德福 / 克里斯汀·斯科特·托马斯 / 斯嘉丽·约翰逊,17622,8.1,美国,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p949388374.jpg
141,鲸骑士 Whale Rider,剧情 / 家庭,妮琪·卡罗,凯莎·卡斯特-休伊斯 / 拉维里·帕拉特恩 / 薇姬·浩顿,7107,8.0,新西兰/德国,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2318519841.jpg
142,怒火救援 Man on Fire,动作 / 剧情 / 惊悚,托尼·斯科特,丹泽尔·华盛顿 / 达科塔·范宁 / 拉达·米切尔,64545,8.1,美国/英国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1673558925.jpg
143,滚滚红尘 滾滾紅塵,爱情 / 战争,严浩,林青霞 / 秦汉 / 张曼玉,42056,8.2,中国香港/中国台湾,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1281789791.jpg
144,附注：我爱你 P.S. I Love You,剧情 / 爱情,理查德·拉·格拉文斯,希拉里·斯万克 / 杰拉德·巴特勒 / 丽莎·库卓,121796,8.1,美国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p461625359.jpg
145,饥饿 Hunger,剧情 / 传记,史蒂夫·麦奎因,迈克尔·法斯宾德 / 斯图尔特·格雷厄姆 / 莱恩·梅加,14590,8.0,爱尔兰/英国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p788163635.jpg
146,乐队来访 ביקור התזמורת,剧情 / 音乐,艾伦·科勒林,塞森·加布埃 / 罗内特·艾尔卡贝兹 / 萨莱·巴克里,5725,8.1,以色列/法国/美国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513242444.jpg
