,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
43,转转 転々,喜剧,三木聪,小田切让 / 三浦友和 / 小泉今日子,14926,8.4,日本,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1111394339.jpg
44,金氏漂流记 김씨 표류기,剧情 / 爱情,李海准,郑在咏 / 郑丽媛,54793,8.3,韩国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p617595199.jpg
45,花落花开 Séraphine,传记 / 剧情 / 战争,马丁·波渥斯,友兰达·梦露 / 乌尔里希·图库尔 / 安妮·贝南特,16860,8.5,法国/比利时,21世纪00年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513302781.jpg
46,闪亮的风采 Shine,剧情 / 传记 / 音乐,斯科特·希克斯,杰弗里·拉什 / 贾斯廷·布雷恩 / 索尼娅·托德,11130,8.4,澳大利亚,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2406770137.jpg
47,马路天使 馬路天使,剧情 / 喜剧,袁牧之,周璇 / 赵丹 / 魏鹤龄,20883,8.5,中国大陆,20世纪30年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2194956092.jpg
48,莫斯科不相信眼泪 Москва слезам не верит,喜剧 / 剧情 / 爱情,弗拉基米尔·缅绍夫,薇拉·阿莲托娃 / 阿列克谢·巴塔洛夫 / 伊琳娜·穆拉维耶娃,15401,8.5,苏联,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542279117.jpg
49,地球之夜 Night on Earth,喜剧 / 剧情,吉姆·贾木许,吉娜·罗兰兹 / 薇诺娜·瑞德 / Lisanne Falk,38230,8.3,法国/英国/德国/美国/日本,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p957052935.jpg
50,夜访吸血鬼 Interview with the Vampire: The Vampire Chronicles,剧情 / 奇幻 / 惊悚,尼尔·乔丹,布拉德·皮特 / 汤姆·克鲁斯 / 克斯汀·邓斯特,256181,8.3,美国,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1353910572.jpg
51,发条橙 A Clockwork Orange,犯罪 / 剧情 / 科幻,斯坦利·库布里克,马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨,308487,8.6,英国/美国,20世纪70年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg
52,恋恋笔记本 The Notebook,剧情 / 爱情,尼克·卡萨维蒂,瑞恩·高斯林 / 瑞秋·麦克亚当斯 / 吉娜·罗兰兹,537824,8.5,美国,21世纪00年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
