,电影名称,电影类型,导演,主演,评价人数,评分,国家/地区,年代,图片
20,忠犬八公的故事 Hachi: A Dog's Tale,剧情,拉斯·霍尔斯道姆,理查·基尔 / 萨拉·罗默尔 / 琼·艾伦,1170773,9.4,美国/英国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg
21,天堂电影院 Nuovo Cinema Paradiso,剧情 / 爱情,朱塞佩·托纳多雷,菲利普·努瓦雷 / 雅克·贝汉 / 马克·莱昂纳蒂,520761,9.2,意大利/法国,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg
22,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",剧情 / 喜剧 / 犯罪,盖·里奇,杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰,493645,9.1,英国,20世纪90年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
23,鬼子来了,剧情 / 喜剧,姜文,姜文 / 香川照之 / 袁丁,503628,9.3,中国大陆,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
24,小鞋子 بچههای آسمان,剧情 / 儿童 / 家庭,马基德·马基迪,法拉赫阿米尔·哈什米安 / 默罕默德·阿米尔·纳吉 / 巴哈丽·西迪奇,330506,9.2,伊朗,20世纪90年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
25,七武士 七人の侍,动作 / 冒险 / 剧情,黑泽明,三船敏郎 / 志村乔 / 津岛惠子,155914,9.3,日本,20世纪50年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
26,摩登时代 Modern Times,剧情 / 喜剧 / 爱情,查理·卓别林,查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼,235009,9.3,美国,20世纪30年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
27,"黄金三镖客 Il buono, il brutto, il cattivo.",冒险 / 西部,赛尔乔·莱昂内,克林特·伊斯特伍德 / 埃里·瓦拉赫 / 李·范·克里夫,96110,9.2,意大利/西班牙/西德,20世纪60年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178150710.jpg
28,东京物语 東京物語,剧情 / 家庭,小津安二郎,笠智众 / 原节子 / 杉村春子,108062,9.2,日本,20世纪50年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg
29,熊的故事 L'ours,剧情,让-雅克·阿诺,巴特熊 / Youk the Bear / 切基·卡尤,24640,9.1,法国/美国,20世纪80年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2454268056.jpg
30,生活多美好 It's a Wonderful Life,剧情 / 爱情 / 奇幻,弗兰克·卡普拉,詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔,71002,9.3,美国,20世纪40年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg
31,茶馆,剧情 / 历史,谢添,于是之 / 郑榕 / 蓝天野,67202,9.5,中国大陆,20世纪80年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2262122096.jpg
32,寻子遇仙记 The Kid,剧情 / 喜剧 / 家庭,查理·卓别林,查理·卓别林 / 卡尔·米勒 / 艾德娜·珀薇安丝,34036,9.2,美国,20世纪20年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2506524685.jpg
33,天堂回信,剧情 / 儿童,王君正,石晨 / 李丁 / 肖雄,27480,9.1,中国大陆,20世纪90年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1090024531.jpg
34,海蒂和爷爷 Heidi,剧情 / 冒险 / 家庭,阿兰·葛斯彭纳,阿努克·斯特芬 / 布鲁诺·冈茨 / 昆林·艾格匹,370805,9.2,德国/瑞士,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
35,哀乐中年 哀樂中年,剧情 / 爱情 / 家庭,桑弧,石挥 / 朱嘉琛 / 沈扬,10712,9.2,中国大陆,20世纪40年代,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2029574250.jpg
36,无言的山丘 無言的山丘,剧情 / 历史,王童,杨贵媚 / 黄品源 / 澎恰恰,11236,9.2,中国台湾,20世纪90年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2522310203.jpg
37,切腹,剧情 / 动作 / 悬疑,小林正树,仲代达矢 / 石浜朗 / 岩下志麻,30257,9.3,日本,20世纪60年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2151748293.jpg
38,指环王3：王者无敌 The Lord of the Rings: The Return of the King,剧情 / 动作 / 奇幻 / 冒险,彼得·杰克逊,伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森,624776,9.2,美国/新西兰,21世纪00年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
39,飞越疯人院 One Flew Over the Cuckoo's Nest,剧情,米洛斯·福尔曼,杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德,470790,9.1,美国,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
40,触不可及 Intouchables,剧情 / 喜剧,奥利维埃·纳卡什 / 埃里克·托莱达诺,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼,818750,9.3,法国,21世纪10年代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
41,窃听风暴 Das Leben der Anderen,剧情 / 悬疑,弗洛里安·亨克尔·冯·多纳斯马尔克,乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫,458522,9.2,德国,21世纪00年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
42,教父2 The Godfather: Part Ⅱ,剧情 / 犯罪,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿,429762,9.2,美国,20世纪70年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
43,美国往事 Once Upon a Time in America,犯罪 / 剧情,赛尔乔·莱昂内,罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文,337619,9.2,美国/意大利,20世纪80年代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
44,虎口脱险 La grande vadrouille,喜剧 / 战争,热拉尔·乌里,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克,196496,8.9,法国/英国,20世纪60年代,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
